DATE,GDP大勢今中央,GDP大勢今下限,GDP大勢今上限,GDP大勢翌中央,GDP大勢翌下限,GDP大勢翌上限,GDP大勢翌々中央,GDP大勢翌々下限,GDP大勢翌々上限,GDP全員今中央,GDP全員今下限,GDP全員今上限,GDP全員翌中央,GDP全員翌下限,GDP全員翌上限,GDP全員翌々中央,GDP全員翌々下限,GDP全員翌々上限,CPI大勢今中央,CPI大勢今下限,CPI大勢今上限,CPI大勢翌中央,CPI大勢翌下限,CPI大勢翌上限,CPI大勢翌々中央,CPI大勢翌々下限,CPI大勢翌々上限,CPI全員今中央,CPI全員今下限,CPI全員今上限,CPI全員翌中央,CPI全員翌下限,CPI全員翌上限,CPI全員翌々中央,CPI全員翌々下限,CPI全員翌々上限
20001031,,1.9,2.3,,,,,,,,1.5,2.3,,,,,-0.4,-0.2,,,,,,,,-0.5,-0.1,,,,,,,,,
20010426,,0.3,0.8,,,,,,,,-0.1,1,,,,,-0.8,-0.4,,,,,,,,-1,-0.3,,,,,,,,,
20011029,,-1.2,-0.9,,-1.1,0.1,,,,,-1.6,-0.6,,-1.7,0.2,,-1.1,-1,,-1.3,-0.9,,,,,-1.3,-0.9,,-1.7,-0.5,,,,,,
20020430,,-0.5,0.1,,,,,,,,-0.5,0.2,,,,,-1,-0.8,,,,,,,,-1.1,-0.5,,,,,,,,,
20021030,,0.2,0.5,,0.4,1,,,,,0.1,0.7,,0.4,1.5,,-0.9,-0.7,,-0.6,-0.4,,,,,-0.9,-0.5,,-0.7,-0.3,,,,,,
20030430,1,0.8,1.1,,,,,,,,0.8,1.2,,,,-0.4,-0.5,-0.4,,,,,,,,-0.6,-0.2,,,,,,,,,
20031031,2.4,2.3,2.6,2.5,2.3,2.6,,,,,2.3,2.7,,2,2.8,-0.2,-0.3,-0.1,-0.3,-0.5,-0.2,,,,,-0.3,0,,-0.5,0.5,,,,,,
20040428,3.1,3,3.2,,,,,,,,2.9,3.5,,,,-0.2,-0.2,-0.1,,,,,,,,-0.2,0.5,,,,,,,,,
20041029,3.6,3.4,3.7,2.5,2.2,2.6,,,,,3.2,3.7,,2,2.6,-0.2,-0.2,-0.1,0.1,-0.1,0.2,,,,,-0.2,-0.1,,-0.1,0.3,,,,,,
20050428,1.3,1.2,1.6,1.6,1.3,1.7,,,,,1.1,1.8,,1.2,2.2,-0.1,-0.1,0.1,0.3,0.2,0.4,,,,,-0.1,0.1,,0.1,0.5,,,,,,
20051031,2.2,2.2,2.5,1.8,1.6,2.2,,,,,2,2.7,,1.3,2.4,0.1,0,0.1,0.5,0.4,0.6,,,,,0,0.1,,0.4,0.6,,,,,,
20060428,2.4,2.1,3,2,1.8,2.4,,,,,2.1,3,,1.6,2.5,0.6,0.6,0.6,0.8,0.7,0.9,,,,,0.5,0.7,,0.7,1,,,,,,
20061031,2.4,2.3,2.5,2.1,1.9,2.4,,,,,2.2,2.5,,1.8,2.6,0.3,0.2,0.3,0.5,0.4,0.5,,,,,0.2,0.3,,0.4,0.6,,,,,,
20070427,2.1,2,2.1,2.1,2,2.3,,,,,1.9,2.5,,1.9,2.4,0.1,0,0.2,0.5,0.4,0.6,,,,,-0.1,0.2,,0.3,0.6,,,,,,
20071031,1.8,1.7,1.8,2.1,1.9,2.3,,,,,1.7,2,,1.9,2.4,0,0,0.1,0.4,0.2,0.4,,,,,0,0.1,,0.2,0.5,,,,,,
20080430,1.5,1.4,1.6,1.7,1.6,1.8,,,,,1.4,1.8,,1.5,1.9,1.1,0.9,1.1,1,0.8,1,,,,,0.9,1.2,,0.8,1.1,,,,,,
20080701,1.2,1.2,1.4,1.5,1.4,1.6,,,,,1.1,1.5,,1.4,1.7,1.8,1.7,1.9,1.1,1,1.2,,,,,1.5,2,,1,1.3,,,,,,
20081031,0.1,0.1,0.2,0.6,0.3,0.7,1.7,1.5,1.9,,-0.4,0.3,,0.3,0.8,1.6,1.5,1.6,0,-0.2,0.2,0.3,0.1,0.5,,1.5,1.7,,-0.3,0.3,,-0.1,0.5,,,
20090101,-1.8,-2,-1.7,-2,-2.5,-1.9,1.5,1.3,1.8,,-2,-1.6,,-2.8,-1.8,1.2,1.1,1.2,-1.1,-1.2,-0.9,-0.4,-0.6,0,,1,1.2,,-1.3,-0.8,,-0.7,0,,,
20090430,-3.1,-3.7,-3,1.2,0.8,1.5,,,,,-3.8,-2.5,,0.7,1.5,-1.5,-1.6,-1.4,-1,-1.1,-0.8,,,,,-1.8,-1.2,,-1.2,-0.4,,,,,,
20090701,-3.4,-3.7,-3,1,0.6,1.1,,,,,-3.8,-3,,0.5,1.5,-1.3,-1.5,-1.2,-1,-1.2,-0.7,,,,,-1.6,-1.4,,-1.2,-0.6,,,,,,
20091030,-3.2,-3.3,-3.2,1.2,0.8,1.3,2.1,1.6,2.4,,-3.4,-3,,0.7,1.5,-1.5,-1.5,-1.5,-0.8,-0.9,-0.7,-0.4,-0.7,-0.4,,-1.6,-1.4,,-1.2,-0.7,,-1,-0.3,,,
20100101,-2.5,-2.5,-2.5,1.3,1.2,1.4,2.1,1.7,2.4,,-2.6,-2.3,,1,1.5,-1.5,-1.5,-1.5,-0.5,-0.6,-0.5,-0.2,-0.3,-0.1,,-1.6,-1.5,,-0.7,-0.4,,-0.3,0,,,
20100430,1.8,1.6,2,2,2,2.2,,,,,1.5,2,,1.9,2.4,-0.5,-0.5,-0.2,0.1,-0.1,0.2,,,,,-0.6,-0.2,,-0.1,0.3,,,,,,
20100701,2.6,2.5,2.7,1.9,1.8,2.1,,,,,2.2,2.7,,1.8,2.1,-0.4,-0.5,-0.2,0.1,0,0.2,,,,,-0.5,-0.2,,-0.1,0.3,,,,,,
20101028,2.1,2,2.3,1.8,1.5,1.9,2.1,2,2.4,,2,2.3,,1.5,1.9,-0.4,-0.5,-0.3,0.1,0,0.3,0.6,0.2,0.8,,-0.5,-0.2,,-0.2,0.4,,0,0.8,,,
20110101,3.3,3.3,3.4,1.6,1.4,1.7,2,1.9,2.2,,3.2,3.5,,1.4,1.8,-0.3,-0.4,-0.3,0.3,0,0.4,0.6,0.2,0.8,,-0.4,-0.2,,-0.1,0.4,,0,0.8,,,
20110428,0.6,0.5,0.9,2.9,2.7,3,,,,,0.5,1,,2.5,3,0.7,0.5,0.8,0.7,0.5,0.7,,,,,0.5,0.9,,0.4,0.7,,,,,,
20110701,0.4,0.2,0.6,2.9,2.5,3,,,,,0.2,0.6,,2.5,3,0.7,0.6,0.8,0.7,0.6,0.7,,,,,0.5,0.8,,0.4,0.8,,,,,,
20111027,0.3,0.2,0.4,2.2,2.1,2.4,1.5,1.3,1.6,,0.2,0.4,,2,2.4,0,0,0,0.1,0,0.2,0.5,0.4,0.6,,-0.1,0.1,,-0.1,0.3,,0.3,0.7,,,
20120101,-0.4,-0.4,-0.3,2,1.8,2.1,1.6,1.4,1.7,,-0.5,-0.3,,1.8,2.2,-0.1,-0.1,0,0.1,0,0.2,0.5,0.4,0.5,,-0.1,0,,-0.2,0.3,,0.2,0.6,,,
20120427,2.3,2.1,2.4,1.7,1.6,1.8,,,,,2.1,2.4,,1.5,1.8,0.3,0.1,0.4,0.7,0.5,0.7,,,,,0.1,0.4,,0.4,0.8,,,,,,
20120701,2.2,2.2,2.4,1.7,1.6,1.8,,,,,2.1,2.4,,1.5,1.8,0.2,0.1,0.3,0.7,0.5,0.7,,,,,0.1,0.4,,0.4,0.8,,,,,,
20121030,1.5,1.4,1.6,1.6,1.3,1.8,0.6,0.2,0.7,,1.2,1.7,,1,1.8,-0.1,-0.1,-0.1,0.4,0.2,0.6,0.8,0.4,1,,-0.1,0,,-0.1,0.6,,0.2,1,,,
20130101,1,1,1.1,2.3,1.9,2.5,0.8,0.6,1,,0.9,1.1,,1.8,2.5,-0.2,-0.2,-0.1,0.4,0.3,0.6,0.9,0.5,1,,-0.2,-0.1,,0.1,0.7,,0.4,1,,,
20130426,2.9,2.4,3,1.4,1,1.5,1.6,1.4,1.9,,2.1,3.1,,0.6,1.7,0.7,0.4,0.8,1.4,0.7,1.6,1.9,0.9,2.2,,0.4,1,,0.6,1.7,,0.8,2.3,,,
20130701,2.8,2.5,3,1.3,0.8,1.5,1.5,1.3,1.9,,2.3,3,,0.4,1.5,0.6,0.5,0.8,1.3,0.7,1.6,1.9,0.9,2.2,,0.4,1,,0.6,1.7,,0.7,2.3,,,
20131031,2.7,2.6,3,1.5,0.9,1.5,1.5,1.3,1.8,,2.6,3,,0.5,1.6,0.7,0.6,1,1.3,0.8,1.6,1.9,0.9,2.2,,0.6,1,,0.6,1.7,,0.7,2.2,,,
20140101,2.7,2.5,2.9,1.4,0.9,1.5,1.5,1.2,1.8,,2.5,3,,0.6,1.6,0.7,0.7,0.9,1.3,0.9,1.6,1.9,1,2.2,,0.7,0.9,,0.7,1.7,,0.8,2.2,,,
20140430,1.1,0.8,1.3,1.5,1.2,1.5,1.3,1,1.5,,0.5,1.4,,1,1.8,1.3,1,1.5,1.9,1.2,2.1,2.1,1.3,2.3,,0.9,1.7,,0.8,2.1,,0.7,2.3,,,
20140701,1,0.6,1.3,1.5,1.2,1.6,1.3,1,1.5,,0.5,1.3,,0.9,1.7,1.3,1.2,1.5,1.9,1.2,2.1,2.1,1.3,2.3,,1,1.7,,1,2.1,,0.9,2.3,,,
20141031,0.5,0.2,0.7,1.5,1.2,1.7,1.2,1,1.4,,0.1,1,,0.8,1.8,1.2,1.1,1.4,1.7,1.1,1.9,2.1,1.2,2.3,,1,1.4,,0.9,2,,0.9,2.3,,,
20150101,-0.5,-0.6,-0.4,2.1,1.8,2.3,1.6,1.5,1.7,,-0.7,-0.3,,1.3,2.3,0.9,0.9,1.2,1,0.4,1.3,2.2,1.5,2.3,,0.9,1.3,,0.3,1.4,,0.9,2.3,,,
20150430,2,1.5,2.1,1.5,1.4,1.8,0.2,0.1,0.5,,0.8,2.2,,0.8,1.8,0.8,0.2,1.2,2,1.2,2.2,1.9,1.4,2.1,,0.2,1.3,,0.8,2.3,,0.7,2.2,,,
20150701,1.7,1.5,1.9,1.5,1.5,1.7,0.2,0.1,0.5,,,,,,,0.7,0.3,1,1.9,1.2,2.1,1.8,1.4,2.1,,,,,,,,,,,,
20151030,1.2,0.8,1.4,1.4,1.2,1.6,0.3,0.1,0.5,,,,,,,0.1,0,0.4,1.4,0.8,1.5,1.8,1.2,2.1,,,,,,,,,,,,
20160129,1.1,1,1.3,1.5,1,1.7,0.3,0.1,0.5,,,,,,,0.1,0,0.2,0.8,0.2,1.2,1.8,1,2.1,,,,,,,,,,,,
20160428,1.2,0.8,1.4,0.1,0,0.3,1,0.6,1.2,,,,,,,0.5,0,0.8,1.7,0.8,2,1.9,1,2.1,,,,,,,,,,,,
20160729,1,0.8,1,1.3,1,1.5,0.9,0.8,1,,,,,,,0.1,0,0.3,1.7,0.8,1.8,1.9,1,2,,,,,,,,,,,,
20161101,1,0.8,1,1.3,1,1.5,0.9,0.8,1,,,,,,,-0.1,-0.3,-0.1,1.5,0.6,1.6,1.7,0.9,1.9,,,,,,,,,,,,
20170131,1.4,1.2,1.5,1.5,1.3,1.6,1.1,1,1.2,,,,,,,-0.2,-0.2,-0.1,1.5,0.8,1.6,1.7,0.9,1.9,,,,,,,,,,,,
20170427,1.6,1.4,1.6,1.3,1.1,1.3,0.7,0.6,0.7,,,,,,,1.4,0.6,1.6,1.7,0.8,1.9,1.9,0.9,2,,,,,,,,,,,,
20170720,1.8,1.5,1.8,1.4,1.1,1.5,0.7,0.7,0.8,,,,,,,1.1,0.5,1.3,1.5,0.8,1.6,1.8,0.9,2,,,,,,,,,,,,
20171031,1.9,1.7,2,1.4,1.2,1.4,0.7,0.7,0.8,,,,,,,0.8,0.7,1,1.4,1.1,1.6,1.8,1.5,2,,,,,,,,,,,,
20180123,1.9,1.8,2,1.4,1.3,1.5,0.7,0.7,0.9,,,,,,,0.8,0.7,1,1.4,1.3,1.6,1.8,1.5,2,,,,,,,,,,,,
20180427,1.6,1.4,1.7,0.8,0.7,0.9,0.8,0.6,1,,,,,,,1.3,1.2,1.3,1.8,1.5,1.8,1.8,1.5,1.8,,,,,,,,,,,,
20180731,1.5,1.3,1.5,0.8,0.7,0.9,0.8,0.6,0.9,,,,,,,1.1,1,1.2,1.5,1.3,1.6,1.6,1.4,1.6,,,,,,,,,,,,
20181031,1.4,1.3,1.5,0.8,0.8,0.9,0.8,0.6,0.9,,,,,,,0.9,0.9,1,1.4,1.3,1.5,1.5,1.4,1.6,,,,,,,,,,,,
20190123,0.9,0.9,1,0.9,0.7,1,1,0.7,1,,,,,,,0.8,0.8,0.9,0.9,0.8,1.1,1.4,1.2,1.4,,,,,,,,,,,,
20190425,0.8,0.7,0.9,0.9,0.8,1.1,1.2,0.9,1.2,,,,,,,0.9,0.7,1,1.3,1.1,1.4,1.6,1.4,1.7,,,,,,,,,,,,
20190730,0.7,0.6,0.9,0.9,0.8,1,1.1,0.9,1.2,,,,,,,0.8,0.6,0.9,1.2,1,1.3,1.6,1.3,1.7,,,,,,,,,,,,
20191031,0.6,0.6,0.7,0.7,0.6,0.9,1,0.9,1.2,,,,,,,0.5,0.4,0.6,1,0.7,1.1,1.5,1.2,1.7,,,,,,,,,,,,
20200121,0.8,0.8,0.9,0.9,0.8,1.1,1.1,1,1.3,,,,,,,0.4,0.4,0.5,0.9,0.9,1,1.4,1.2,1.6,,,,,,,,,,,,
20200427,,-5,-3,,2.8,3.9,,0.8,1.6,,,,,,,,-0.8,-0.4,,0,0.7,,0.4,1,,,,,,,,,,,,
20200715,-4.7,-5.7,-4.5,3.3,3,4,1.5,1.3,1.6,,,,,,,-0.6,-0.7,-0.5,0.3,0.2,0.5,0.7,0.5,0.8,,,,,,,,,,,,
20201029,-5.5,-5.6,-5.3,3.6,3,3.8,1.6,1.5,1.8,,,,,,,-0.7,-0.8,-0.6,0.4,0.2,0.6,0.7,0.4,0.7,,,,,,,,,,,,
20210121,-5.6,-5.7,-5.4,3.9,3.3,4,1.8,1.5,2,,,,,,,-0.6,-0.8,-0.6,0.5,0.3,0.5,0.7,0.7,0.8,,,,,,,,,,,,
20210427,4,3.6,4.4,2.4,2.1,2.5,1.3,1.2,1.5,,,,,,,0.1,0,0.2,0.8,0.5,0.9,1,0.7,1,,,,,,,,,,,,
20210716,3.8,3.5,4,2.7,2.6,2.9,1.3,1.2,1.4,,,,,,,0.6,0.3,0.6,0.9,0.8,1,1,0.9,1.1,,,,,,,,,,,,
20211028,3.4,3,3.6,2.9,2.7,3,1.3,1.2,1.4,,,,,,,0,0,0.2,0.9,0.8,1,1,0.9,1.2,,,,,,,,,,,,
20220118,2.8,2.7,2.9,3.8,3.3,4.1,1.1,1,1.4,,,,,,,0,0,0.1,1.1,1,1.2,1.1,1,1.3,,,,,,,,,,,,
20220428,2.9,2.6,3,1.9,1.5,2.1,1.1,1.1,1.3,,,,,,,1.9,1.8,2,1.1,0.9,1.3,1.1,1,1.3,,,,,,,,,,,,
20220721,2.4,2.2,2.5,2,1.7,2.1,1.3,1.1,1.5,,,,,,,2.3,2.2,2.4,1.4,1.2,1.5,1.3,1.1,1.5,,,,,,,,,,,,
20221028,2,1.8,2.1,1.9,1.5,2,1.5,1.3,1.6,,,,,,,2.9,2.8,2.9,1.6,1.5,1.8,1.6,1.5,1.9,,,,,,,,,,,,
20230118,1.9,1.9,2,1.7,1.5,1.9,1.1,0.9,1.3,,,,,,,3,3,3,1.6,1.6,1.8,1.8,1.8,1.9,,,,,,,,,,,,
20230428,1.4,1.1,1.5,1.2,1,1.3,1,1,1.1,,,,,,,1.8,1.7,2,2,1.8,2.1,1.6,1.6,1.9,,,,,,,,,,,,
20230728,1.3,1.2,1.5,1.2,1,1.3,1,1,1.2,,,,,,,2.5,2.4,2.7,1.9,1.8,2.2,1.6,1.6,2,,,,,,,,,,,,
20231031,2,1.8,2,1,0.9,1.4,1,0.8,1.2,,,,,,,2.8,2.7,3,2.8,2.7,3.1,1.7,1.6,2,,,,,,,,,,,,
20240123,1.8,1.6,1.9,1.2,1,1.2,1,1.2,1.2,,,,,,,2.8,2.8,2.9,2.4,2.2,2.5,1.8,1.6,1.9,,,,,,,,,,,,
20240426,0.8,0.7,1,1,0.8,1.1,1,0.8,1,,,,,,,2.8,2.6,3,1.9,1.7,2.1,1.9,1.6,2,,,,,,,,,,,,
20240731,0.6,0.5,0.7,1,0.9,1.1,1,0.8,1,,,,,,,2.5,2.5,2.6,2.1,2,2.3,1.9,1.8,2,,,,,,,,,,,,
20241031,0.6,0.5,0.7,1.1,1,1.2,1,0.8,1.1,,,,,,,2.5,2.4,2.5,1.9,1.7,2.1,1.9,1.8,2,,,,,,,,,,,,
20250124,0.5,0.4,0.6,1.1,0.9,1.1,1,0.8,1,,,,,,,2.7,2.6,2.8,2.4,2.2,2.6,2,1.8,2.1,,,,,,,,,,,,
20250501,0.5,0.4,0.6,0.7,0.6,0.8,1,0.8,1,,,,,,,2.2,2,2.3,1.7,1.6,1.8,1.9,1.8,2,,,,,,,,,,,,
20250731,0.6,0.5,0.7,0.7,0.7,0.9,1,0.9,1,,,,,,,2.7,2.7,2.8,1.8,1.6,2,2,1.8,2,,,,,,,,,,,,
