会合開始日,会合終了日,会合終了時刻,政策公表時刻,議事要旨公表日,金融市場調節方針,政策短期金利誘導目標水準,補完当座預金適用利率,基準割引率・基準貸付利率（公定歩合）,投票_委員1,投票_委員2,投票_委員3,投票_委員4,投票_委員5,投票_委員6,投票_委員7,投票_委員8,投票_委員9,投票_委員10,投票_委員11,投票_委員12,投票_委員13,投票_委員14,投票_委員15,投票_委員16,投票_委員17,投票_委員18,投票_委員19,投票_委員20,投票_委員21,投票_委員22,投票_委員23,投票_委員24,投票_委員25,投票_委員26,投票_委員27,投票_委員28,投票_委員29,投票_委員30,投票_委員31,投票_委員32,投票_委員33,投票_委員34,投票_委員35,投票_委員36,投票_委員37,投票_委員38,投票_委員39,投票_委員40,投票_委員41,投票_委員42,投票_委員43,投票_委員44,投票_委員45,投票_委員46,投票_委員47,投票_委員48,投票_委員49,投票_委員50,投票_委員51,投票_委員52,投票_委員53,投票_委員54
19980409,19980409,1610,1618,19980522,無担保コールレート（オーバーナイト物）を、平均的にみて公定歩合水準をやや下回って推移するよう促す。,0.43,,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980424,19980424,1300,1308,19980617,〃,0.43,,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980519,19980519,1610,1618,19980630,〃,0.43,,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980612,19980612,1756,1804,19980722,〃,0.43,,0.5,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980625,19980625,1157,1205,19980731,〃,0.43,,0.5,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980716,19980716,1550,1558,19980814,〃,0.43,,0.5,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980728,19980728,1240,1248,19980914,〃,0.43,,0.5,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980811,19980811,1604,1612,19980929,〃,0.43,,0.5,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980909,19980909,1741,1749,19981016,無担保コールレート（オーバーナイト物）を、平均的にみて0.25％前後で推移するよう促す。,0.25,,0.5,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980924,19980924,1502,1510,19981102,〃,0.25,,0.5,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19981013,19981013,1546,1554,19981118,〃,0.25,,0.5,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19981028,19981028,1355,1403,19981202,〃,0.25,,0.5,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19981113,19981113,1654,1702,19981218,〃,0.25,,0.5,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19981127,19981127,1358,1406,19990122,〃,0.25,,0.5,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
