XP1,XP2,XP3
7455.25,7456.85,5465.33
7144.69,7467.51,5225.5
6970.31,7422.2,5126.14
6870.71,7507.93,5036.7
6644.6,7528.14,4858.09
6431.65,7481.19,4747.42
6593.92,7508.54,4900.02
6568.22,7548.29,4886.64
6600.79,7579.08,4925.14
7058.58,7563.11,5261.66
7145.62,7638.95,5322.01
7800.86,7661.22,5771.86
8490.45,7627.43,6293.15
8607.55,7510.16,6385.3
9284.95,7585.34,6894.5
9476.17,7582.28,7018.83
9111.48,7581.29,6818.99
8991.8,7635.05,6727.18
8989.99,7682.41,6666.59
9349.93,7716.46,6908.36
9667.24,7767.57,7147.48
9940.23,7811.78,7304.63
10452.4,7815.98,7700.71
9871.01,7710.08,7246.01
10385.14,7750.06,7648.11
10464.46,7746.61,7651.72
10782.2,7737.73,7856.05
11036.42,7658.79,8007.89
10612.03,7630.6,7687.36
10497.73,7653.93,7637.25
10150.02,7726.63,7397.82
10425.37,7720.6,7567.81
10468.32,7741.87,7631.22
10438.55,7739.03,7564.01
10283.65,7669.5,7428.85
10084.11,7646.57,7345.09
10425.06,7625.75,7559.04
10034.85,7622.73,7261.75
9986.25,7676.53,7223.76
10090.58,7716.39,7321.07
10488.92,7707.74,7574.39
10248.49,7694.98,7439.72
10153.87,7729.02,7368.42
9733.21,7756.62,7027.74
9610.85,7722.53,6997.03
9489.46,7687.38,6918.24
9884.08,7705.56,7186.31
10067.73,7743.15,7386.58
10099.02,7737.53,7385.84
10382.5,7780.28,7595.14
10300.49,7800.38,7516.89
10298.17,7770.01,7510.42
10406.5,7786.9,7564.77
10904.94,7731.89,7877.26
11137.01,7806.11,8041.61
11292.78,7921.01,8112.08
10787.48,7894.81,7751.33
10889.08,7826.6,7851.89
10941.39,7863.67,7858.6
10663.16,7855.33,7700.85
10686.09,7993.18,7749.78
10732.84,7990.14,7806.41
10889.54,8038.04,7918.82
11092.4,8039.9,8043.36
11184.93,7994.47,8105.47
11502.81,8005.69,8366.05
11731.39,7904.58,8477.28
12078.28,8000.25,8709.84
12472.84,8011.19,8999.11
12703.14,8152.68,9176.43
12846.43,8192.03,9288.19
12543,8138.21,9027.73
12345.54,8181.66,8860
12075.46,8118.75,8599.23
11577.4,8035.87,8216.44
11174.21,8055.75,7923.59
10907.79,8027.78,7756.68
10745.22,8027.85,7611.45
10727.57,8032,7623.3
11395.9,8000.64,8127.2
11508.09,7970.8,8261.67
11509.46,7963.8,8316.74
11518.69,8022.88,8348.26
11397.23,7939.97,8271.88
11159.77,7975.95,8093.66
11069,7995.44,7963.3
10971.07,8054.68,7876.76
10887.31,8036.97,7874.07
10409.68,8057.42,7517.3
10568.33,8071.71,7650.11
11010.66,8043.56,8016.15
10820.9,8105.58,7838.07
10997.49,8170.37,7937.09
11065.11,8211.94,8004.79
11303.54,8304.85,8167.63
11139.2,8342.19,8014.5
11450.37,8260.81,8269.57
11005.72,8222.59,7973.82
10879.69,8145.37,7814.17
10837.62,8114.43,7779.63
10978.8,8076.34,7905.02
11138.2,8078.83,7983.76
11116.65,8028.17,7974.6
10805.23,8037.06,7723.84
10885.86,8001.96,7761.81
10472,8095.79,7436.02
10728.48,8141.28,7634.94
11000.44,8197.59,7787.91
11230.39,8221.49,7902.65
11263.8,8320.83,7848.04
11147.44,8277.2,7799.29
11269.31,8247.18,7848.78
11439.7,8334.93,7900.25
11601.95,8291,8021.97
11365.41,8277.67,7913.82
11767.43,8254.12,8204.1
11419.8,8235.83,7945.18
11724.75,8220.54,8201.31
12006.1,8246.71,8344.28
12095.54,8237.4,8438.59
11644.21,8211.5,8110.73
12099.77,8279.93,8443.56
12315.44,8267.71,8589.36
12259.42,8257.92,8535.19
12483.39,8252.64,8625.67
12958.71,8289.14,8902.13
13127.63,8285.29,9091.26
13138.71,8283.37,9070.46
12661.5,8249.22,8699.1
12990.93,8232.7,8921.82
12793.44,8235.72,8818.09
13056.1,8206.57,9024.3
13340.26,8233.16,9216.36
13463.31,8156.51,9322.22
13838.75,8174.07,9548.49
13578.61,8089.61,9318.96
13727.57,8071.12,9431.25
14032.14,8040.63,9725.22
14123.78,8004.32,9780.77
14461.47,8001.21,10022.51
13957.81,7901.17,9639.79
13657.61,7975.14,9372.26
13712.95,7866.08,9426.44
13781.15,7832.41,9495.53
13937.44,7758.02,9681.14
13914.32,7707.83,9718.47
13633.9,7840.73,9502.79
13784.02,7842.11,9628.8
13888.84,7750.95,9736.22
13554.16,7632.05,9513.34
13447.24,7667.51,9508.42
13768.98,7666.17,9698.28
13493.9,7645.56,9473.59
13432.16,7590.02,9482.08
13629.47,7502.07,9616.13
13396.03,7433.33,9503.14
12939.8,7497.03,9132.16
13280.79,7457.39,9429.44
13648.63,7374.23,9703.04
13645.2,7492.87,9683.38
13751.57,7524.83,9669.2
13780.28,7508.45,9707.24
13782.32,7574.44,9674.79
14000.37,7630.56,9851.18
14309.6,7591.84,10206.82
14211.96,7722.49,10106.51
14308.31,7703.09,10111.68
14510.93,7605.65,10167.51
14606.36,7595.28,10259.65
14040.99,7608.72,9930.65
13329.47,7746.3,9447.17
13484.38,7754.57,9637.29
13860.86,7786.58,9909.91
13430.6,7781.57,9616.64
13633.2,7761.63,9728.29
13717.67,7759.69,9808.22
13954.42,7801.37,10038.05
14389.1,7912.24,10380.35
14440.04,7981.75,10401.71
14236.49,8063.99,10260.25
14962.71,7976.94,10776.81
15849.72,8047.7,11414.3
16357.12,8063.4,11695.18
16268.3,7967.53,11708.87
16482.95,8004,11827.18
16237.62,7993.59,11660.25
16697.86,8082.18,12076.03
16891.13,8030.93,12127.85
16077.3,8003.29,11452.66
15765.62,7947.55,11115.02
14922.37,7936.93,10493.14
15455.91,7959.51,10789.83
15326.89,7919.89,10632.18
14835.83,7964.55,10416.04
14791.25,7898.55,10307.81
14942.79,7838.16,10460.27
14572.38,7922.72,10191.83
14549.29,7857,10189.14
14318.42,7883.49,10025.03
14566.52,7860.49,10156.28
15349.24,7883.77,10607.94
15727.72,7975.94,10778.52
15716.58,8077.21,10876.72
15978.56,8053.45,11060.91
16510.12,7903.25,11356.67
15971.69,8109.15,10963.89
15698.94,8183.32,10811.61
15866.86,8238.32,10961.26
15265.89,8237.08,10496.49
15788.19,8278.53,10817.38
15795.08,8266.21,10825.32
15091.43,8294.81,10334.2
14803.99,8269.28,10145.93
14563.56,8186.93,9882.1
14198.26,8250.53,9670.13
14785.37,8349.54,10078.03
14727.32,8327.18,10085.66
14771.85,8243.85,10143.19
14354.93,8288.04,9900.3
14180.26,8285.1,9775.74
14105.61,8179.42,9719.35
13635.57,8179.56,9353.09
13982.82,8139.42,9621.94
14159.25,8118.64,9777.42
13951.71,8052.11,9702.44
14399.45,8160,10122.77
14393.68,8136.51,10263.99
14101.4,8031.88,10007.44
13957.14,8046.02,9930.43
13295.25,8063.26,9531.61
13639.6,8003.2,9761.31
13452.68,7826.71,9649.53
13457.81,7770.95,9640.05
13367.84,7816.21,9573.53
13878.37,7811.83,10011.44
13347.31,7805.34,9706.74
13341.39,7839.32,9695.13
13349.95,7770.32,9637.69
13349.52,7836.42,9681.43
13204.82,7836.08,9643.75
13073.38,7876.84,9594.11
13122.3,7935.52,9659.16
12821.14,7948.64,9412.11
13290.85,7899.91,9675.07
13170.01,7964.68,9584.74
13792.92,7846.67,10005.5
13575.4,7808.11,9871.86
13548.58,7791.34,9815.8
12930.68,7781.31,9340.11
13206.11,7838.74,9529.49
12693.79,7846.64,9113.27
11671.81,7868.89,8342.07
11171.58,7865.21,8024.89
11074.71,7852.64,7973.41
10939.32,7886.98,7889.49
10733.85,7944.54,7711.64
10519.47,7814.54,7573.21
11078.25,7855.22,8000.54
