XP1,XP2,XP3,XP4,XP5
15224.56,11940.66,7503.76,3044.91,4375.06
15263.99,11887.81,7484.68,3052.8,4360.09
15061.36,11930.06,7499.8,3012.27,4389.39
15411.89,11752.4,7438.14,3082.38,4406.76
15488.01,11777.42,7446.54,3097.6,4460.55
15295.28,11781.87,7447.92,3059.06,4482.65
15391.43,11794.31,7451.63,3078.29,4443.77
15552.35,11948.61,7495.47,3110.47,4437.34
15657.87,11739.68,7439.79,3131.57,4505.35
15607.28,11932.84,7490.88,3121.46,4569.27
15889.29,11822.43,7462.99,3177.86,4589.62
15960.56,11632.05,7416.76,3192.11,4590.2
15846.89,11503.19,7385.72,3169.38,4604.98
15498.51,11554.67,7398.18,3099.7,4603.25
15652.05,11582.96,7405.16,3130.41,4604.64
15645.43,11516.94,7388.8,3129.09,4611.16
15643.02,11350.42,7346.06,3128.6,4654.09
15779.08,11236.98,7316.87,3155.82,4652.3
15886.66,11461.34,7374.74,3177.33,4648.19
15959.3,11499.57,7384.55,3191.86,4635.49
16103.09,11405.8,7360.25,3220.62,4693.71
16225.76,11229.83,7315.36,3245.15,4699.63
16238.83,11188.39,7304.61,3247.77,4744.79
15853.26,10824.83,7207.43,3170.65,4781.45
15981.9,10728.53,7180.09,3196.38,4800.73
15969.67,10588.9,7139.07,3193.93,4791.24
15939.44,10791.54,7200.27,3187.89,4832.41
15678.02,10939.12,7244.73,3135.6,4859.84
15586.12,10927.17,7241.27,3117.22,4833.66
15657.23,10746.17,7189.11,3131.45,4866.62
15907.13,10883.96,7228.59,3181.43,4870.97
15888.61,11051,7275.19,3177.72,4899.43
15956.92,11198.83,7317.14,3191.38,4880.35
15947.95,11336.13,7356.94,3189.59,4837.36
15718.41,11259.95,7334.78,3143.68,4859.51
15642.27,11401.66,7377.66,3128.45,4848.96
15565.62,11692.22,7466.98,3113.12,4842.34
15554.25,11701.41,7469.88,3110.85,4863.59
15787.49,11464.08,7391.19,3157.5,4852.72
15983.16,11621.97,7446.77,3196.63,4839.29
15940.45,11783.04,7504.01,3188.09,4872.41
15871.64,11717.18,7480.31,3174.33,4876.71
16065.11,12074.97,7612.3,3213.02,4911.12
16206.53,11908.57,7550.34,3241.31,4863.76
16045.3,11995.15,7583.25,3209.06,4838.49
15845.31,11352,7327.04,3169.06,4811.89
15956.09,11311.49,7309.31,3191.22,4814.88
16207.45,11590.92,7439.15,3241.49,4800.08
16169.99,11465.8,7378.04,3234,4829.02
16474.36,11183.65,7229.6,3294.87,4743.96
16614.78,11388.83,7349.24,3322.96,4711.4
16398.98,11182.87,7219.12,3279.8,4679.69
16518.86,11257.41,7269.04,3303.77,4675.34
16162.21,10769.22,6915.33,3232.44,4694.44
16721,10459.38,6674.07,3344.2,4789.97
17570.33,10368.54,6601.03,3514.07,4763.72
17412.47,10139.83,6412.69,3482.49,4737.29
16920.12,10418.57,6651.46,3384.02,4771.98
17159.29,10573.94,6790.65,3431.86,4763.45
17092.44,10446.5,6676.51,3418.49,4831.92
18199.36,10545.77,6763.51,3639.87,4773.84
18184.46,10685.03,6885.72,3636.89,4833.17
18480.82,10718.49,6914.38,3696.16,4739.28
18494.27,10765.09,6952.01,3698.85,4866.75
18171.07,10921.9,7071.76,3634.21,4875.8
18239.89,10855.34,7023.56,3647.98,4859.04
17695.53,10804.62,6988.69,3539.11,4831.37
18112.9,10927.34,7066.96,3622.58,4899.93
18150.13,10773.92,6975,3630.03,4945.7
18642.73,10799.5,6989.2,3728.55,4931.63
18756.87,10795.36,6987.01,3751.37,4944.61
18567.78,10864.4,7021.6,3713.56,4899.34
18717.24,11016.25,7095.13,3743.45,4817.62
18487.07,11057.87,7114.56,3697.41,4831.26
18170.54,11097.23,7132.45,3634.11,4884.38
18257.25,11239.35,7196.31,3651.45,4851.91
18136.81,11507.75,7317.78,3627.36,4869.81
18137.06,11602.12,7361.77,3627.41,4822.76
18151.53,11384.62,7255.13,3630.31,4762.88
18027.51,11360.8,7243.05,3605.5,4759.23
17907.3,11656.79,7387.61,3581.46,4852.15
17876.11,11579.01,7350.42,3575.22,4835.52
18146.98,11741.88,7430.73,3629.4,4789.48
17772.49,11964.27,7544.89,3554.5,4677.58
