Data as of 2025-04-25,,,,,,
Quarter,minus_2,minus_1,zero,plus_1,plus_2,plus_3
198303,0,0,0,33.71,36.23,30.06
198306,0.04,0.1,0.26,36.89,37.68,25.03
198309,0.08,0.23,0.63,39.13,40.74,19.18
198312,0.06,0.17,0.54,28.76,41.46,29.02
198403,0.03,0.1,0.35,16.93,39.54,43.05
198406,0.04,0.11,0.39,13.35,38.58,47.53
198409,0.05,0.14,0.49,12,40.37,46.95
198412,0.05,0.14,0.49,10.27,40.04,49.01
198503,0.04,0.11,0.39,7.47,34.85,57.15
198506,0.16,0.51,1.67,9.88,38.23,49.56
198509,0.24,0.82,2.95,15.2,47.51,33.27
198512,1.82,4.34,9.69,23.02,41.96,19.17
198603,1.9,4.7,11.28,28.69,41.28,12.14
198606,0.44,1.72,7.19,32.15,46.38,12.12
198609,0.88,3.17,11.95,40.79,36.17,7.05
198612,1.46,5.19,18.51,47.05,23.86,3.93
198703,2.15,7.59,26.04,46.81,14.97,2.44
198706,1.91,7.28,28.62,49,11.25,1.95
198709,0.82,3.82,21.1,57.02,14.48,2.76
198712,0.55,2.68,18.36,61.48,14.23,2.71
198803,0.61,2.95,21.22,62.95,10.44,1.83
198806,0.86,3.96,27.26,58.96,7.59,1.36
198809,0.91,4.38,32.13,55.7,5.76,1.12
198812,0.51,2.78,27.04,61.17,7.01,1.49
198903,0.33,1.86,22.23,65.81,8.01,1.77
198906,0.23,1.27,16.4,68.32,10.87,2.91
198909,0.33,1.37,14.22,69.79,11.28,3.02
198912,0.84,2.81,20.16,67.02,7.52,1.65
199003,0.8,2.78,19.96,67.24,7.51,1.72
199006,0.41,1.79,15.94,70.56,9.13,2.15
199009,0.51,2.02,16.01,70.55,8.88,2.03
199012,0.45,1.78,14.05,68.54,11.72,3.46
199103,0.32,1.35,11.49,67.08,15.25,4.51
199106,0.99,2.78,14.8,66.71,11.89,2.84
199109,1.26,3.51,17.16,66.94,9.21,1.91
199112,1.71,4.51,18.92,65.15,8.06,1.65
199203,2.22,5.74,21.25,63.22,6.32,1.25
199206,1.41,4.31,19.3,64.58,8.52,1.88
199209,1.09,3.71,18.59,65.4,9.26,1.95
199212,1.93,5.58,21.8,63.29,6.29,1.12
199303,3.98,9.26,25.86,56.71,3.55,0.63
199306,3.99,9.44,26.65,55.93,3.32,0.67
199309,2.2,6.48,24.76,61,4.68,0.88
199312,2.16,6.46,25.81,60.99,3.92,0.66
199403,2.07,6.29,26.42,61.57,3.12,0.53
199406,1.41,4.64,23.72,65.1,4.39,0.74
199409,1.22,4.08,22.54,66.91,4.54,0.71
199412,1.59,5,25.36,64.65,2.95,0.45
