Data as of 2024-1-31,,,,,,,,,,
Quarter,1Year,2Year,3Year,4Year,5Year,6Year,7Year,8Year,9Year,10Year
199012,1.92,1.575,1.025,1.01,0.952,0.957,0.963,0.96,0.964,0.962
199103,2.021,1.623,1.115,1.092,1.038,1.051,1.049,1.053,1.052,1.053
199106,1.817,1.277,0.958,0.85,0.859,0.844,0.856,0.854,0.856,0.856
199109,1.737,1.209,0.828,0.755,0.738,0.735,0.743,0.742,0.745,0.743
199112,1.704,1.023,0.8,0.728,0.715,0.725,0.722,0.728,0.726,0.727
199203,1.551,0.855,0.695,0.602,0.615,0.607,0.617,0.615,0.617,0.616
199206,1.52,1.074,0.709,0.706,0.666,0.679,0.68,0.681,0.683,0.681
199209,1.395,0.954,0.716,0.701,0.68,0.693,0.69,0.695,0.693,0.695
199212,1.098,0.724,0.578,0.522,0.544,0.533,0.545,0.541,0.544,0.543
199303,0.727,0.468,0.338,0.334,0.334,0.343,0.343,0.345,0.345,0.345
199306,0.905,0.463,0.394,0.35,0.36,0.361,0.364,0.365,0.365,0.365
199309,0.798,0.563,0.501,0.502,0.505,0.511,0.513,0.513,0.513,0.513
199312,0.683,0.504,0.482,0.493,0.497,0.505,0.504,0.506,0.505,0.506
199403,0.584,0.478,0.497,0.503,0.519,0.521,0.524,0.523,0.523,0.523
199406,0.583,0.571,0.558,0.585,0.589,0.594,0.595,0.595,0.595,0.595
199409,0.497,0.484,0.551,0.571,0.584,0.59,0.589,0.59,0.589,0.59
199412,0.35,0.336,0.442,0.448,0.475,0.473,0.476,0.475,0.475,0.475
199503,0.278,0.313,0.363,0.395,0.403,0.409,0.409,0.409,0.409,0.408
199506,-0.091,-0.114,0.04,0.06,0.085,0.092,0.089,0.092,0.09,0.091
199509,-0.178,-0.192,-0.11,-0.085,-0.049,-0.045,-0.033,-0.034,-0.03,-0.031
199512,-0.011,0.126,0.114,0.185,0.176,0.195,0.192,0.195,0.195,0.196
199603,-0.101,-0.121,-0.037,0.026,0.086,0.123,0.146,0.161,0.167,0.172
199606,0.245,0.425,0.387,0.33,0.273,0.222,0.198,0.178,0.171,0.164
199609,0.329,0.404,0.32,0.291,0.234,0.216,0.195,0.188,0.181,0.179
199612,0.652,0.554,0.466,0.349,0.292,0.245,0.224,0.209,0.202,0.198
199703,0.72,0.788,0.625,0.502,0.387,0.317,0.273,0.247,0.233,0.225
199706,0.767,0.755,0.628,0.498,0.39,0.322,0.278,0.254,0.24,0.232
199709,1.261,1.33,1.155,0.895,0.688,0.533,0.442,0.384,0.353,0.334
199712,0.747,0.677,0.527,0.453,0.39,0.362,0.341,0.332,0.325,0.322
199803,0.42,0.271,0.273,0.206,0.196,0.175,0.167,0.162,0.158,0.157
199806,-0.128,-0.285,-0.205,-0.191,-0.136,-0.117,-0.099,-0.092,-0.087,-0.085
199809,-0.47,-0.627,-0.504,-0.41,-0.327,-0.273,-0.247,-0.231,-0.225,-0.221
199812,-0.711,-0.826,-0.646,-0.463,-0.324,-0.24,-0.196,-0.175,-0.167,-0.163
199903,-0.618,-0.606,-0.506,-0.294,-0.167,-0.08,-0.037,-0.02,-0.012,-0.011
199906,-0.316,-0.264,-0.237,-0.097,-0.025,0.033,0.058,0.07,0.073,0.075
199909,-0.127,-0.109,-0.102,-0.055,-0.012,0.01,0.024,0.028,0.03,0.03
199912,-0.215,-0.278,-0.287,-0.233,-0.166,-0.119,-0.089,-0.074,-0.067,-0.064
200003,0.262,0.278,0.237,0.108,0.019,-0.046,-0.084,-0.103,-0.114,-0.119
200006,-0.047,-0.115,-0.122,-0.134,-0.132,-0.131,-0.129,-0.128,-0.127,-0.127
200009,-0.106,-0.151,-0.147,-0.143,-0.139,-0.133,-0.131,-0.129,-0.129,-0.128
200012,-0.297,-0.279,-0.189,-0.278,-0.322,-0.363,-0.386,-0.393,-0.398,-0.398
200103,-0.586,-0.619,-0.547,-0.633,-0.666,-0.706,-0.72,-0.729,-0.731,-0.732
200106,-0.554,-0.53,-0.562,-0.637,-0.716,-0.752,-0.776,-0.783,-0.786,-0.786
200109,-0.819,-0.877,-0.835,-0.762,-0.719,-0.685,-0.671,-0.663,-0.66,-0.659
200112,-1.131,-1.047,-0.943,-0.768,-0.661,-0.599,-0.57,-0.559,-0.555,-0.555
200203,-1.447,-1.388,-1.175,-0.872,-0.674,-0.569,-0.529,-0.519,-0.52,-0.523
200206,-1.125,-1.015,-0.808,-0.628,-0.507,-0.454,-0.432,-0.427,-0.427,-0.428
200209,-1.109,-0.98,-0.75,-0.576,-0.468,-0.419,-0.401,-0.397,-0.397,-0.398
200212,-0.801,-0.71,-0.559,-0.447,-0.383,-0.355,-0.346,-0.346,-0.346,-0.347
200303,-0.491,-0.32,-0.262,-0.234,-0.25,-0.257,-0.267,-0.271,-0.273,-0.273
200306,-0.467,-0.306,-0.268,-0.185,-0.157,-0.141,-0.135,-0.136,-0.135,-0.136
200309,-0.333,-0.119,-0.098,-0.021,-0.001,0.013,0.017,0.017,0.017,0.017
200312,-0.085,0.043,0.056,0.1,0.125,0.134,0.14,0.14,0.141,0.141
200403,-0.143,-0.019,0.056,0.093,0.117,0.125,0.127,0.128,0.127,0.127
200406,-0.001,-0.013,0.043,0.002,-0.002,-0.017,-0.021,-0.024,-0.024,-0.024
200409,0.141,0.107,0.069,0.038,0.011,0.002,-0.004,-0.006,-0.006,-0.007
200412,0.048,-0.016,-0.02,-0.03,-0.039,-0.035,-0.039,-0.037,-0.039,-0.038
200503,0.013,-0.008,-0.023,-0.066,-0.08,-0.097,-0.1,-0.104,-0.104,-0.104
200506,-0.182,-0.17,-0.201,-0.151,-0.131,-0.11,-0.103,-0.099,-0.098,-0.098
200509,-0.065,-0.086,-0.062,-0.115,-0.138,-0.156,-0.166,-0.168,-0.17,-0.17
200512,-0.185,-0.213,-0.199,-0.211,-0.201,-0.206,-0.201,-0.203,-0.202,-0.203
200603,-0.017,0.003,-0.067,-0.078,-0.115,-0.12,-0.129,-0.13,-0.131,-0.131
200606,0.101,0.049,0.015,-0.047,-0.08,-0.099,-0.108,-0.111,-0.113,-0.113
200609,0.057,0.086,0.007,-0.043,-0.077,-0.099,-0.105,-0.11,-0.11,-0.111
200612,0.076,0.095,0.01,-0.025,-0.066,-0.077,-0.087,-0.089,-0.09,-0.09
200703,0.012,-0.026,0.009,-0.07,-0.093,-0.119,-0.129,-0.133,-0.135,-0.134
200706,0.08,0.077,0.044,-0.053,-0.106,-0.145,-0.159,-0.167,-0.168,-0.169
200709,0.149,0.108,0.019,-0.042,-0.104,-0.121,-0.137,-0.139,-0.141,-0.141
200712,0.718,0.565,0.291,0.129,0.019,-0.032,-0.051,-0.06,-0.061,-0.062
200803,0.771,0.686,0.328,0.179,0.054,0.014,-0.008,-0.014,-0.016,-0.016
200806,1.2,0.993,0.621,0.313,0.135,0.034,-0.01,-0.03,-0.037,-0.04
200809,1.322,1.015,0.461,0.258,0.126,0.075,0.061,0.05,0.052,0.049
200812,0.088,-0.059,0.001,-0.02,-0.007,0.006,-0.004,0.007,0,0.004
200903,-0.701,-1.053,-0.537,-0.488,-0.271,-0.244,-0.199,-0.196,-0.192,-0.192
200906,-1.573,-1.61,-1.102,-0.664,-0.415,-0.288,-0.262,-0.258,-0.264,-0.269
200909,-1.797,-2.009,-1.225,-0.788,-0.494,-0.359,-0.337,-0.328,-0.34,-0.342
200912,-1.665,-1.365,-0.849,-0.551,-0.389,-0.35,-0.326,-0.335,-0.332,-0.337
201003,-0.767,-0.182,-0.243,-0.116,-0.22,-0.219,-0.251,-0.254,-0.258,-0.259
201006,-0.897,-0.44,-0.243,-0.22,-0.228,-0.251,-0.261,-0.263,-0.266,-0.264
201009,-1.384,-0.708,-0.403,-0.407,-0.38,-0.418,-0.415,-0.422,-0.42,-0.421
201012,-0.888,-0.502,-0.407,-0.329,-0.334,-0.334,-0.339,-0.343,-0.342,-0.343
201103,-0.168,-0.024,-0.001,-0.029,-0.081,-0.088,-0.102,-0.099,-0.102,-0.1
201106,-0.09,0.016,0.003,-0.016,-0.025,-0.042,-0.041,-0.047,-0.046,-0.047
201109,-0.258,0.003,-0.08,0.019,0.013,0.027,0.024,0.023,0.023,0.022
201112,-0.539,-0.43,-0.229,-0.125,-0.054,-0.037,-0.036,-0.034,-0.038,-0.037
201203,-0.03,0.032,0.05,-0.045,-0.056,-0.09,-0.086,-0.093,-0.09,-0.091
201206,-0.125,-0.007,-0.021,0.008,-0.021,-0.011,-0.02,-0.017,-0.019,-0.018
201209,0.073,-0.042,0.038,-0.006,-0.002,-0.011,-0.012,-0.012,-0.013,-0.012
201212,-0.442,-0.311,-0.21,-0.116,-0.072,-0.059,-0.052,-0.054,-0.053,-0.054
201303,-0.66,-0.519,-0.342,-0.187,-0.128,-0.096,-0.094,-0.092,-0.094,-0.094
201306,-0.233,-0.164,-0.084,-0.016,0.022,0.027,0.034,0.03,0.032,0.03
201309,0.322,0.51,0.361,0.416,0.381,0.387,0.383,0.382,0.383,0.382
201312,0.883,1.007,0.869,0.867,0.832,0.829,0.824,0.824,0.824,0.824
201403,1.137,1.3,1.191,1.158,1.14,1.124,1.127,1.123,1.125,1.124
201406,1.295,1.353,1.233,1.151,1.11,1.095,1.09,1.09,1.09,1.091
201409,1.254,1.142,1.128,1.073,1.075,1.067,1.069,1.069,1.069,1.07
201412,0.565,0.518,0.698,0.761,0.818,0.836,0.84,0.843,0.841,0.842
201503,0.139,0.105,0.354,0.45,0.53,0.551,0.561,0.563,0.563,0.563
201506,0.176,0.269,0.446,0.547,0.588,0.609,0.613,0.615,0.615,0.615
201509,-0.048,0.13,0.361,0.485,0.538,0.564,0.569,0.573,0.572,0.573
201512,-0.232,0.024,0.273,0.44,0.523,0.55,0.562,0.562,0.563,0.562
201603,-0.084,0.254,0.423,0.559,0.599,0.621,0.624,0.626,0.626,0.625
201606,-0.189,0.054,0.321,0.419,0.478,0.492,0.496,0.497,0.496,0.496
201609,-0.194,-0.015,0.186,0.217,0.252,0.249,0.252,0.25,0.25,0.25
201612,0.086,0.199,0.234,0.267,0.256,0.259,0.255,0.254,0.254,0.253
201703,0.89,0.845,0.663,0.548,0.458,0.432,0.417,0.415,0.414,0.414
201706,0.41,0.558,0.477,0.477,0.457,0.453,0.451,0.45,0.45,0.45
201709,0.589,0.687,0.575,0.541,0.519,0.507,0.508,0.506,0.507,0.506
201712,1.054,1.05,0.863,0.755,0.695,0.674,0.669,0.668,0.668,0.669
201803,1.179,1.015,0.873,0.727,0.672,0.648,0.641,0.642,0.641,0.642
201806,1.188,0.881,0.704,0.532,0.475,0.445,0.44,0.438,0.438,0.438
201809,1.299,0.96,0.662,0.468,0.368,0.337,0.325,0.325,0.325,0.325
201812,0.976,0.708,0.495,0.377,0.322,0.308,0.303,0.304,0.304,0.305
201903,0.454,0.299,0.253,0.215,0.22,0.218,0.221,0.222,0.222,0.223
201906,0.662,0.5,0.345,0.262,0.229,0.215,0.216,0.214,0.217,0.216
201909,0.394,0.279,0.241,0.236,0.23,0.24,0.238,0.243,0.241,0.242
201912,0.422,0.218,0.23,0.164,0.171,0.161,0.164,0.164,0.164,0.164
202003,0.279,0.245,0.17,0.172,0.16,0.163,0.165,0.165,0.166,0.166
202006,-0.457,-0.374,-0.115,0.007,0.079,0.112,0.116,0.123,0.12,0.122
202009,-0.451,-0.427,-0.132,-0.066,0.026,0.031,0.047,0.044,0.045,0.044
202012,-1.44,-0.805,-0.315,-0.036,0.016,0.029,0.017,0.016,0.014,0.015
202103,-0.029,-0.049,0.022,0.04,0.049,0.052,0.057,0.056,0.058,0.057
202106,0.685,0.638,0.457,0.247,0.108,0.062,0.031,0.029,0.024,0.025
202109,0.319,0.275,0.118,0.033,-0.006,-0.027,-0.026,-0.031,-0.028,-0.029
202112,0.348,0.39,0.136,0.085,0.02,0.015,0.008,0.009,0.009,0.01
202203,0.386,0.24,0.094,0.027,0.014,0.008,0.012,0.013,0.014,0.015
202206,1.3,1.056,0.428,0.318,0.219,0.197,0.202,0.194,0.202,0.198
202209,1.487,1.273,0.616,0.574,0.456,0.468,0.455,0.461,0.46,0.461
202212,2.102,1.618,0.981,0.837,0.793,0.764,0.782,0.774,0.781,0.778
202303,1.449,1.29,0.928,0.907,0.887,0.898,0.898,0.903,0.901,0.903
202306,1.787,1.119,0.981,0.881,0.934,0.926,0.945,0.944,0.947,0.947
202309,1.866,1.365,1.14,1.108,1.097,1.109,1.112,1.115,1.116,1.116
202312,1.986,1.359,1.22,1.156,1.139,1.147,1.144,1.149,1.147,1.148
