"YYYYMMDD","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
19950104,2.2393,0.5547,1.4853,1.7675,1.6649,1.6184,1.622,2.4383,2.6907,2.8325,3.0121,3.2416,3.406
19950105,2.2379,0.576,1.5043,1.7745,1.6597,1.6241,1.6096,2.437,2.6897,2.8315,3.0113,3.2409,3.4054
19950106,2.2343,0.5794,1.5164,1.7873,1.6703,1.6353,1.6176,2.4336,2.6866,2.8287,3.0087,3.2387,3.4034
19950109,2.2269,0.5963,1.5167,1.7803,1.6719,1.6393,1.614,2.4267,2.6803,2.8227,3.0031,3.2337,3.399
19950110,2.2149,0.5606,1.4932,1.7623,1.6671,1.6366,1.6105,2.4154,2.6698,2.8127,2.9939,3.2254,3.3915
19950111,2.2011,0.5177,1.4522,1.7277,1.6428,1.6231,1.6022,2.4023,2.6578,2.8013,2.9832,3.2159,3.3828
19950112,2.19,0.4771,1.4108,1.7068,1.6201,1.6136,1.5909,2.3919,2.6482,2.7922,2.9749,3.2084,3.3761
19950113,2.186,0.5168,1.4549,1.7237,1.6237,1.6157,1.5926,2.3882,2.6451,2.7893,2.9723,3.2063,3.3744
19950117,2.1849,0.5915,1.5474,1.8109,1.6837,1.6543,1.6191,2.3875,2.6446,2.7891,2.9723,3.2067,3.3749
19950118,2.1766,0.5222,1.4883,1.7644,1.6505,1.6264,1.5896,2.3798,2.6377,2.7826,2.9665,3.2016,3.3704
19950119,2.1689,0.5244,1.4997,1.7803,1.6689,1.621,1.5865,2.3726,2.6313,2.7767,2.9611,3.197,3.3665
19950120,2.1611,0.5155,1.519,1.8122,1.6912,1.6284,1.5904,2.3655,2.625,2.7708,2.9558,3.1926,3.3626
19950123,2.1521,0.4638,1.5224,1.82,1.7024,1.6447,1.6109,2.3572,2.6176,2.764,2.9496,3.1873,3.3581
19950124,2.1432,0.436,1.5197,1.8118,1.7085,1.65,1.6225,2.349,2.6103,2.7572,2.9435,3.182,3.3535
19950125,2.1358,0.4579,1.5138,1.7995,1.7086,1.6503,1.6222,2.3421,2.6042,2.7515,2.9384,3.1777,3.3498
19950126,2.1293,0.4638,1.49,1.7843,1.6968,1.6489,1.6173,2.3362,2.599,2.7467,2.9342,3.1741,3.3467
19950127,2.1253,0.4574,1.4811,1.782,1.6852,1.6617,1.6127,2.3326,2.5959,2.744,2.9318,3.1723,3.3453
19950130,2.1241,0.4723,1.4765,1.7743,1.6842,1.6753,1.6131,2.3317,2.5955,2.7437,2.9318,3.1727,3.3459
19950131,2.1254,0.4848,1.4968,1.8045,1.6992,1.6842,1.6119,2.3332,2.5972,2.7455,2.9338,3.1748,3.3481
19950201,2.1272,0.5108,1.5137,1.7992,1.6868,1.6797,1.6174,2.3352,2.5993,2.7478,2.9362,3.1773,3.3506
19950202,2.1287,0.5612,1.5528,1.8323,1.7058,1.6945,1.6381,2.3368,2.6012,2.7497,2.9382,3.1795,3.3529
19950203,2.1249,0.5415,1.5317,1.8158,1.695,1.6922,1.6355,2.3335,2.5983,2.7472,2.936,3.1778,3.3515
19950206,2.1184,0.5376,1.522,1.8028,1.6844,1.694,1.6397,2.3274,2.593,2.7422,2.9316,3.174,3.3483
19950207,2.1099,0.5284,1.5011,1.7764,1.6785,1.6922,1.6443,2.3196,2.5859,2.7356,2.9255,3.1688,3.3437
19950208,2.1014,0.5253,1.5042,1.7861,1.6895,1.6975,1.6579,2.3117,2.5788,2.7289,2.9195,3.1635,3.3391
19950209,2.0924,0.5217,1.4878,1.7892,1.696,1.7031,1.6779,2.3033,2.5712,2.7218,2.913,3.1579,3.3341
19950210,2.0834,0.511,1.4983,1.8102,1.7064,1.7186,1.6958,2.295,2.5637,2.7148,2.9066,3.1524,3.3292
19950213,2.0736,0.5352,1.4957,1.8101,1.6906,1.721,1.7084,2.2858,2.5553,2.7069,2.8994,3.146,3.3236
19950214,2.0616,0.5305,1.476,1.8018,1.6926,1.727,1.7196,2.2745,2.545,2.6972,2.8904,3.138,3.3164
19950215,2.0482,0.5361,1.4455,1.7718,1.6818,1.7101,1.7158,2.2619,2.5335,2.6862,2.8802,3.1289,3.3082
19950216,2.0357,0.5469,1.4544,1.7811,1.6904,1.7126,1.7195,2.2501,2.5226,2.6759,2.8706,3.1204,3.3005
19950217,2.0224,0.5564,1.4558,1.7879,1.6914,1.7126,1.7167,2.2376,2.5112,2.6651,2.8606,3.1114,3.2923
19950220,2.0078,0.5682,1.4616,1.779,1.6857,1.7077,1.7008,2.2238,2.4984,2.653,2.8493,3.1013,3.2832
19950221,1.9909,0.5852,1.4633,1.779,1.6747,1.6983,1.6833,2.2078,2.4837,2.639,2.8363,3.0897,3.2727
19950222,1.9711,0.6029,1.4705,1.7774,1.682,1.7031,1.6888,2.1891,2.4665,2.6226,2.821,3.0759,3.2602
19950223,1.9465,0.5461,1.391,1.6848,1.62,1.6682,1.6464,2.1659,2.445,2.6022,2.802,3.0588,3.2446
19950224,1.9258,0.5656,1.4429,1.7358,1.6628,1.6993,1.6761,2.1464,2.4271,2.5852,2.7862,3.0447,3.2319
19950227,1.9031,0.536,1.4176,1.6555,1.6311,1.6717,1.6491,2.125,2.4074,2.5665,2.7689,3.0293,3.2179
19950228,1.8828,0.551,1.451,1.6939,1.6713,1.7102,1.6852,2.106,2.39,2.5501,2.7537,3.0158,3.2058
19950301,1.8601,0.5744,1.4805,1.7164,1.6854,1.7274,1.6998,2.0846,2.3705,2.5316,2.7366,3.0006,3.1922
19950302,1.8345,0.6005,1.5047,1.7295,1.6869,1.7248,1.6946,2.0605,2.3483,2.5105,2.7171,2.9832,3.1764
19950303,1.8032,0.6061,1.4681,1.7126,1.6603,1.7078,1.6576,2.0309,2.3209,2.4844,2.6927,2.9612,3.1564
