"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
199501,1.9856,0.7514,1.7803,2.0917,2.024,2.0383,2.044,2.1427,2.3521,2.4692,2.6169,2.8039,2.9357
199502,1.854,0.778,1.7619,2.088,2.0334,2.1035,2.1166,2.0187,2.2388,2.3624,2.5187,2.7178,2.8596
199503,1.4298,0.7203,1.5859,1.9092,1.9371,2.0281,1.9651,1.6177,1.8717,2.0154,2.1989,2.4364,2.6098
199504,0.9013,0.6286,1.4193,1.7603,1.8159,1.9054,1.8411,1.1192,1.4164,1.5858,1.8037,2.0897,2.3027
199505,0.6205,0.6449,1.4484,1.7342,1.8161,1.9092,1.8398,0.8554,1.1766,1.3598,1.5963,1.9083,2.1425
199506,0.2759,0.5791,1.3161,1.6484,1.7424,1.7634,1.676,0.5378,0.8872,1.0866,1.345,1.6881,1.9479
199507,0.14,0.5885,1.3684,1.6974,1.7643,1.7397,1.6059,0.4217,0.782,0.9883,1.2561,1.6126,1.8831
199508,0.2192,0.6809,1.6247,2.0234,1.9459,2.0025,1.765,0.4936,0.8547,1.0608,1.3277,1.6813,1.9483
199509,-0.1311,0.5662,1.474,1.9305,1.9054,1.9739,1.7944,0.2345,0.5987,0.8151,1.0999,1.4823,1.7739
199510,-0.4109,0.3587,1.4356,1.9696,1.9806,2.0429,1.8918,0.1139,0.4395,0.6535,0.9441,1.3428,1.6507
199511,-0.5721,0.3579,1.4298,1.9793,2.125,2.1934,1.9767,0.0715,0.3654,0.5748,0.8663,1.2725,1.5889
199512,-0.5305,0.4299,1.4394,1.9708,2.0967,2.1503,2.006,0.0815,0.386,0.598,0.8908,1.2968,1.6119
199601,-0.2241,0.6872,1.6313,2.0955,2.1353,2.1323,1.9758,0.1905,0.5527,0.7735,1.0659,1.4599,1.7602
199602,-0.0225,0.814,1.7218,2.0672,2.0919,2.0569,1.9181,0.3072,0.6856,0.9051,1.1911,1.5718,1.8597
199603,-0.0185,0.7199,1.6291,2.0128,2.0767,2.0654,1.9488,0.3088,0.6856,0.9041,1.1889,1.568,1.8549
199604,0.1164,0.7838,1.6545,1.9895,2.0465,2.0358,1.9197,0.4111,0.7848,0.9987,1.2759,1.6433,1.9204
199605,0.2181,0.7805,1.6547,1.9659,2.0293,2.0084,1.8812,0.4965,0.8628,1.0716,1.3418,1.6992,1.9682
199606,0.2067,0.7254,1.5933,1.8954,1.9477,1.9147,1.8239,0.485,0.85,1.0583,1.3278,1.6847,1.9538
199607,0.271,0.7972,1.626,1.9191,1.9408,1.9448,1.8475,0.541,0.9006,1.1056,1.3706,1.7212,1.9852
199608,0.1133,0.6736,1.5588,1.8478,1.9355,1.9428,1.8448,0.4038,0.7712,0.9817,1.2549,1.6179,1.8926
199609,-0.0892,0.6142,1.4223,1.7194,1.86,1.8883,1.7742,0.2564,0.6195,0.8332,1.1138,1.4903,1.7775
199610,-0.2622,0.5583,1.3523,1.6793,1.818,1.8293,1.7572,0.166,0.5084,0.7207,1.0042,1.3895,1.686
199611,-0.3489,0.5473,1.3051,1.5966,1.7809,1.8113,1.7631,0.1308,0.4573,0.6669,0.9501,1.3382,1.6385
199612,-0.4226,0.4988,1.2004,1.5412,1.7319,1.754,1.743,0.1055,0.4159,0.6221,0.9038,1.2931,1.5961
199701,-0.3986,0.4965,1.1996,1.5427,1.7295,1.7496,1.7453,0.1123,0.4255,0.6315,0.9119,1.2989,1.6
199702,-0.3763,0.4319,1.1667,1.5083,1.6773,1.704,1.6543,0.1185,0.4331,0.6381,0.9166,1.3006,1.5993
199703,-0.3011,0.4693,1.1066,1.4112,1.5771,1.6428,1.5657,0.1443,0.4683,0.673,0.9486,1.3266,1.62
199704,-0.1751,0.5307,1.0225,1.272,1.3751,1.4281,1.3511,0.1986,0.5359,0.7399,1.0109,1.3794,1.6643
199705,0.1643,0.625,1.1581,1.4148,1.5064,1.562,1.4661,0.4309,0.7746,0.9716,1.2281,1.5715,1.8341
199706,0.1908,0.5769,1.079,1.3265,1.4214,1.4403,1.4017,0.4507,0.7892,0.9831,1.2357,1.5741,1.8333
199707,0.0903,0.4786,0.9767,1.2333,1.3608,1.3656,1.3281,0.3649,0.7044,0.8999,1.1555,1.4994,1.7641
199708,-0.0167,0.3967,0.8938,1.1419,1.2542,1.2808,1.2631,0.284,0.6204,0.8166,1.0747,1.424,1.6943
199709,-0.0979,0.3527,0.8578,1.0905,1.2141,1.2376,1.229,0.2316,0.5608,0.7562,1.0149,1.3673,1.6414
199710,-0.154,0.376,0.7569,0.9058,1.0177,1.0379,1.039,0.1988,0.5189,0.7119,0.9692,1.3217,1.5972
199711,-0.1489,0.3057,0.7074,0.8544,0.9823,1.0217,0.991,0.1997,0.5171,0.7083,0.9633,1.3131,1.587
199712,-0.0514,0.3442,0.6794,0.8166,0.9139,0.9742,0.9417,0.2534,0.5755,0.7649,1.0155,1.3574,1.6244
199801,0.0662,0.3443,0.6733,0.798,0.879,0.9456,0.9177,0.3332,0.6544,0.8402,1.0845,1.4163,1.6749
199802,0.1539,0.3592,0.6625,0.7678,0.8263,0.9045,0.8777,0.4009,0.7162,0.8977,1.1357,1.4586,1.7101
199803,0.1145,0.2449,0.5538,0.6883,0.7565,0.8158,0.7997,0.3664,0.6799,0.8608,1.0986,1.422,1.6747
199804,0.1325,0.2245,0.5404,0.6936,0.7585,0.8303,0.8211,0.3788,0.6888,0.8675,1.1024,1.4223,1.6725
199805,0.0218,0.152,0.3869,0.5184,0.5822,0.6479,0.6394,0.2917,0.6,0.7794,1.0166,1.3416,1.5974
199806,0.0355,0.2008,0.3547,0.4566,0.5072,0.5402,0.5118,0.2996,0.6049,0.7824,1.0172,1.339,1.5927
199807,0.1607,0.1911,0.4047,0.5279,0.5782,0.6436,0.6258,0.3954,0.6952,0.868,1.0957,1.4067,1.6513
199808,0.1082,0.1556,0.302,0.3871,0.4326,0.4943,0.4873,0.3504,0.6488,0.8212,1.049,1.3612,1.6078
199809,-0.0511,0.1227,0.1866,0.1845,0.1495,0.2032,0.1438,0.2365,0.5303,0.7038,0.9352,1.2555,1.5104
199810,-0.1431,0.1842,0.2109,0.1458,0.0109,0.0459,-0.0416,0.1856,0.4722,0.6455,0.8788,1.2038,1.4636
199811,-0.1773,0.1049,0.1809,0.1722,0.0905,0.1838,0.1054,0.171,0.4574,0.6324,0.8687,1.1982,1.4614
199812,0.0404,0.2367,0.418,0.4767,0.4833,0.6396,0.5325,0.3047,0.6125,0.7913,1.0275,1.3509,1.6053
199901,0.131,0.2937,0.6133,0.7851,0.8005,1.0114,0.903,0.3807,0.695,0.8761,1.114,1.4372,1.6894
